Timestamp,Temperature,WaterColor_R,WaterColor_G,WaterColor_B,Ph,Salinity,Turbidity,GPS_Lat,GPS_Lon,Altitude,Battery,UserID,BoaID,BoaKey
2025-03-31T12:53:07.141890,24.61,34,255,null,null,null,null,46.269118,19.77938,15.35,null,User803,Boa31,Key7324
2025-03-22T15:34:38.141968,null,77,200,null,7.8,35.69,null,44.954559,11.553072,null,null,User330,Boa98,Key6656
2025-03-30T03:58:37.141994,null,null,94,135,7.08,32.04,null,40.525323,14.662695,17.56,93,User496,Boa68,Key5857
2025-03-21T16:34:57.142014,27.85,133,34,184,null,35.7,null,45.700263,12.273727,17.24,72,User245,Boa37,Key3021
2025-03-21T20:46:39.142033,20.6,134,41,null,null,null,null,44.124671,16.465752,null,null,User535,Boa83,Key8238
2025-03-25T18:21:04.142049,null,null,null,89,6.07,null,1.98,40.163388,16.201703,null,null,User760,Boa37,Key6238
2025-03-31T08:02:42.142065,null,null,null,159,6.7,null,null,41.952035,17.92864,10.89,null,User469,Boa59,Key3053
2025-03-29T01:27:21.142082,22.91,null,2,null,6.27,32.78,null,47.645809,17.446425,null,null,User138,Boa79,Key6774
2025-03-27T13:41:06.142099,26.17,231,null,52,null,33.65,1.77,44.676577,19.87974,15.98,null,User142,Boa66,Key1721
2025-03-26T19:46:40.142117,null,null,168,155,6.41,null,1.44,43.865961,10.689359,null,77,User910,Boa42,Key6396
2025-03-24T14:29:08.142138,null,null,196,null,null,34.75,null,49.13832,14.026522,10.43,null,User224,Boa98,Key4753
2025-03-29T06:22:07.142154,null,null,85,null,null,37.68,null,40.402741,19.382172,null,94,User326,Boa65,Key8739
2025-03-23T20:03:33.142170,null,249,null,194,6.08,38.75,null,45.002376,18.073643,11.95,86,User820,Boa93,Key3876
2025-03-21T07:52:25.142188,22.59,236,null,null,null,null,null,40.075872,11.76471,19.65,91,User302,Boa89,Key2216
2025-03-29T15:43:22.142205,26.96,86,null,106,null,null,1.73,41.53335,14.008645,null,null,User352,Boa58,Key3807
2025-03-29T13:52:17.142222,null,226,70,null,7.56,37.54,null,45.679283,11.064334,null,51,User244,Boa41,Key3418
2025-03-30T00:14:52.142239,21.72,null,null,null,6.26,37.41,1.27,48.579199,11.581968,null,null,User621,Boa10,Key6813
2025-03-26T03:22:55.142255,null,230,null,null,null,null,null,47.643728,14.755814,14.18,69,User874,Boa82,Key1195
2025-03-28T22:25:22.142271,null,null,null,170,null,null,1.18,40.481,10.714855,16.13,99,User825,Boa77,Key7553
2025-03-26T10:44:35.142287,null,null,35,156,6.54,38.03,null,49.518997,19.280621,15.77,77,User378,Boa90,Key7962
2025-03-22T07:33:57.142305,25.53,166,77,null,null,31.28,null,48.660345,10.802005,null,null,User533,Boa46,Key2399
2025-03-29T12:56:22.142322,null,170,null,null,null,null,null,42.636783,11.402132,null,null,User412,Boa64,Key8339
2025-03-23T18:07:30.142337,null,159,null,null,7.01,null,1.9,44.483218,13.838375,null,80,User960,Boa41,Key3208
2025-03-24T05:23:35.142352,24.48,null,null,140,6.69,null,null,44.68414,14.082544,null,null,User742,Boa1,Key1057
2025-03-22T18:55:39.142371,28.91,null,null,null,7.64,null,null,43.302572,15.73632,13.18,null,User549,Boa51,Key1461
2025-03-27T21:51:19.142388,24.32,238,null,174,null,null,null,49.276135,15.071501,null,null,User823,Boa71,Key1168
2025-03-25T06:40:46.142404,null,20,null,null,null,38.46,1.98,49.813688,13.11293,18.37,null,User779,Boa62,Key9917
2025-03-28T06:20:17.142420,null,null,null,185,6.75,34.8,null,42.034345,11.595238,null,null,User847,Boa53,Key6888
2025-03-30T22:31:11.142437,null,246,16,null,6.99,null,1.98,41.791416,10.276328,12.13,null,User832,Boa50,Key1761
2025-03-30T17:32:29.142454,24.53,115,102,119,null,null,null,49.095569,17.719993,14.04,null,User965,Boa72,Key1949
2025-03-24T07:53:36.142471,21.86,254,null,null,null,30.92,null,46.521572,14.928293,18.38,null,User669,Boa29,Key8179
2025-03-28T05:10:29.142487,29.59,23,null,null,null,30.22,null,47.461929,18.934935,11.97,69,User931,Boa56,Key1713
2025-03-27T03:20:06.142504,null,null,null,null,6.88,36.9,null,43.790596,14.584431,null,null,User982,Boa2,Key9522
